region	sector	indout
CY	Manufacture of ceramic goods	12.0543253112
CY	Manufacture of bricks, tiles and construction products, in baked clay	63.1660379919
CY	Manufacture of cement, lime and plaster	542.484927559
CY	Re-processing of ash into clinker	76.0304873738
CY	Manufacture of other non-metallic mineral products n.e.c.	38.4805369339
CY	Manufacture of basic iron and steel and of ferro-alloys and first products thereof	26.3592818142
CY	Re-processing of secondary steel into new steel	0
CY	Precious metals production	4.50835655188
CY	Re-processing of secondary preciuos metals into new preciuos metals	0
CY	Aluminium production	43.2157218855
CY	Re-processing of secondary aluminium into new aluminium	0
CY	Lead, zinc and tin production	7.34837802622
